customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1020,,2026-05-16,WTR-500ML-24,28,2,,0
C1010,,2026-05-16,WTR-5L-4,21,2,,0
C1050,,2026-05-16,WTR-19L-GAL,1,4,,1.29
C1050,,2026-05-16,WTR-5L-4,1,4,,0
C1050,,2026-05-16,WTR-1.5L-6,1,4,,0
C1118,,2026-05-16,WTR-1.5L-6,21,3,,0
C1103,,2026-05-16,WTR-5L-4,2,2,,0
C1103,,2026-05-16,WTR-500ML-24,4,2,,0
C1036,,2026-05-16,WTR-5L-4,1,4,,0
C1145,,2026-05-16,WTR-5L-4,11,4,,0
C1143,,2026-05-16,WTR-1.5L-6,22,4,,0
C1051,,2026-05-16,WTR-5L-4,3,5,,0
C1051,,2026-05-16,WTR-500ML-24,1,5,,0
C1134,,2026-05-16,WTR-5L-4,10,3,,0
C1134,,2026-05-16,WTR-1.5L-6,14,3,,0
C1127,,2026-05-16,WTR-1.5L-6,11,3,,0
C1040,,2026-05-16,WTR-19L-GAL,21,3,,0
C1088,,2026-05-16,WTR-19L-GAL,21,2,,0
C1053,,2026-05-16,WTR-500ML-24,14,5,,0
C1053,,2026-05-16,WTR-200ML-24,12,5,,0
C1080,,2026-05-16,WTR-5L-4,27,3,,0
C1099,,2026-05-16,WTR-5L-4,24,1,,0
C1099,,2026-05-16,WTR-500ML-24,15,1,,0
C1009,B01,2026-05-16,WTR-5L-4,5,2,,7.98
C1082,,2026-05-16,WTR-500ML-24,9,3,,0
C1070,,2026-05-16,WTR-19L-GAL,6,5,,0
C1126,,2026-05-16,WTR-1.5L-6,3,3,,0
C1126,,2026-05-16,WTR-5L-4,4,3,,0
C1136,,2026-05-16,WTR-5L-4,9,1,,0
C1034,,2026-05-16,WTR-1.5L-6,19,1,,0
C1015,,2026-05-16,WTR-500ML-24,26,3,,0
C1135,,2026-05-16,WTR-19L-GAL,3,3,,4.67
C1140,,2026-05-16,WTR-200ML-24,4,3,,0
C1140,,2026-05-16,WTR-19L-GAL,1,3,,0
C1142,,2026-05-16,WTR-200ML-24,13,3,,0
C1139,,2026-05-16,WTR-200ML-24,4,3,,0
C1045,,2026-05-16,WTR-500ML-24,46,2,,0
C1119,,2026-05-16,WTR-500ML-24,1,3,,0
C1119,,2026-05-16,WTR-200ML-24,4,3,,0
C1119,,2026-05-16,WTR-19L-GAL,4,3,,0
C1001,,2026-05-16,WTR-200ML-24,6,3,,0
C1054,,2026-05-16,WTR-200ML-24,7,3,,0
C1054,,2026-05-16,WTR-1.5L-6,14,3,,0
C1094,,2026-05-16,WTR-1.5L-6,43,1,,0
C1094,,2026-05-16,WTR-19L-GAL,21,1,,0
C1115,,2026-05-16,WTR-1.5L-6,3,3,,0
C1115,,2026-05-16,WTR-500ML-24,2,3,,0
