customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1008,,2026-05-14,WTR-19L-GAL,11,3,,0
C1008,,2026-05-14,WTR-1.5L-6,6,3,,0
C1043,,2026-05-14,WTR-19L-GAL,13,2,,0
C1104,,2026-05-14,WTR-500ML-24,24,2,,0
C1040,,2026-05-14,WTR-19L-GAL,24,3,,0
C1057,,2026-05-14,WTR-500ML-24,20,2,,0
C1057,,2026-05-14,WTR-1.5L-6,17,2,,0
C1006,,2026-05-14,WTR-200ML-24,4,3,,0
C1006,,2026-05-14,WTR-5L-4,1,3,,0
C1132,,2026-05-14,WTR-1.5L-6,13,3,,0
C1132,,2026-05-14,WTR-19L-GAL,17,3,,0
C1037,,2026-05-14,WTR-500ML-24,6,5,,0
C1037,,2026-05-14,WTR-200ML-24,8,5,,0
C1015,,2026-05-14,WTR-1.5L-6,23,3,,0
C1013,,2026-05-14,WTR-200ML-24,18,2,,0
C1013,,2026-05-14,WTR-500ML-24,25,2,,0
C1076,,2026-05-14,WTR-200ML-24,32,3,,0
C1032,,2026-05-14,WTR-1.5L-6,5,3,,0
C1116,,2026-05-14,WTR-500ML-24,11,4,,0
C1116,,2026-05-14,WTR-5L-4,17,4,,0
C1102,,2026-05-14,WTR-19L-GAL,15,3,,0
C1102,,2026-05-14,WTR-500ML-24,9,3,,0
C1055,,2026-05-14,WTR-19L-GAL,10,3,,0
C1115,,2026-05-14,WTR-200ML-24,6,3,,0
C1150,,2026-05-14,WTR-1.5L-6,31,4,,0
C1078,,2026-05-14,WTR-19L-GAL,10,3,,0
C1014,,2026-05-14,WTR-200ML-24,21,1,,0
C1014,,2026-05-14,WTR-500ML-24,18,1,,0
C1120,,2026-05-14,WTR-19L-GAL,10,2,,0
C1147,,2026-05-14,WTR-1.5L-6,2,2,,2.64
C1147,,2026-05-14,WTR-19L-GAL,6,2,,6.54
C1123,,2026-05-14,WTR-5L-4,6,2,,0
C1123,,2026-05-14,WTR-1.5L-6,7,2,,0
C1123,,2026-05-14,WTR-19L-GAL,8,2,,0
C1135,,2026-05-14,WTR-5L-4,1,3,,0
C1135,,2026-05-14,WTR-500ML-24,2,3,,0
C1019,,2026-05-14,WTR-1.5L-6,2,2,,0
C1019,,2026-05-14,WTR-5L-4,3,2,,0
C1019,,2026-05-14,WTR-19L-GAL,3,2,,0
C1097,,2026-05-14,WTR-1.5L-6,12,3,,0
C1064,,2026-05-14,WTR-1.5L-6,3,3,,0
C1064,,2026-05-14,WTR-19L-GAL,2,3,,0
C1022,,2026-05-14,WTR-500ML-24,23,5,,0
C1053,,2026-05-14,WTR-19L-GAL,14,5,,0
C1113,,2026-05-14,WTR-19L-GAL,25,2,,0
C1125,,2026-05-14,WTR-1.5L-6,21,4,,0
C1111,,2026-05-14,WTR-200ML-24,4,2,,0
C1111,,2026-05-14,WTR-500ML-24,3,2,,0
C1111,,2026-05-14,WTR-5L-4,5,2,,0
C1011,,2026-05-14,WTR-1.5L-6,12,4,,0
C1011,,2026-05-14,WTR-5L-4,8,4,,0
C1089,,2026-05-14,WTR-200ML-24,11,3,,0
C1089,,2026-05-14,WTR-500ML-24,8,3,,0
C1029,,2026-05-14,WTR-1.5L-6,10,2,,0
C1039,,2026-05-14,WTR-1.5L-6,24,2,,0
C1082,,2026-05-14,WTR-19L-GAL,10,3,,0
C1081,,2026-05-14,WTR-500ML-24,24,2,,0
C1081,,2026-05-14,WTR-200ML-24,28,2,,0
C1140,,2026-05-14,WTR-200ML-24,3,3,,0
C1140,,2026-05-14,WTR-19L-GAL,1,3,,0
C1140,,2026-05-14,WTR-500ML-24,2,3,,0
C1023,,2026-05-14,WTR-5L-4,16,2,,0
C1023,,2026-05-14,WTR-19L-GAL,18,2,,0
C1074,,2026-05-14,WTR-200ML-24,22,4,,0
C1087,,2026-05-14,WTR-500ML-24,27,3,,0
C1071,,2026-05-14,WTR-500ML-24,8,2,,0
C1149,,2026-05-14,WTR-5L-4,25,1,,0
C1058,,2026-05-14,WTR-19L-GAL,9,3,,0
C1030,,2026-05-14,WTR-19L-GAL,16,3,,0
C1030,,2026-05-14,WTR-1.5L-6,10,3,,0
C1030,,2026-05-14,WTR-200ML-24,6,3,,0
C1092,,2026-05-14,WTR-500ML-24,16,3,,0
C1092,,2026-05-14,WTR-19L-GAL,17,3,,0
C1061,,2026-05-14,WTR-1.5L-6,2,3,,0
