customer_code,branch_code,delivery_date,product_code,cases,priority,notes,payment_collection_amount
C1122,,2026-05-12,WTR-19L-GAL,22,1,,0
C1056,,2026-05-12,WTR-500ML-24,30,3,,0
C1056,,2026-05-12,WTR-200ML-24,26,3,,0
C1002,,2026-05-12,WTR-200ML-24,4,3,,3.67
C1002,,2026-05-12,WTR-5L-4,1,3,,1.19
C1045,,2026-05-12,WTR-5L-4,35,2,,0
C1045,,2026-05-12,WTR-500ML-24,35,2,,0
C1113,,2026-05-12,WTR-500ML-24,32,2,,0
C1098,,2026-05-12,WTR-500ML-24,46,3,,50.38
C1141,,2026-05-12,WTR-1.5L-6,3,3,,0
C1145,,2026-05-12,WTR-1.5L-6,10,4,,0
C1018,,2026-05-12,WTR-19L-GAL,37,1,,0
C1025,,2026-05-12,WTR-500ML-24,1,4,,0
C1025,,2026-05-12,WTR-19L-GAL,3,4,,0
C1025,,2026-05-12,WTR-200ML-24,1,4,,0
C1009,B01,2026-05-12,WTR-19L-GAL,2,2,,2.26
C1009,B01,2026-05-12,WTR-5L-4,4,2,,3.81
C1112,,2026-05-12,WTR-500ML-24,22,3,,0
C1144,,2026-05-12,WTR-5L-4,6,3,,0
C1144,,2026-05-12,WTR-500ML-24,7,3,,0
C1060,B01,2026-05-12,WTR-5L-4,1,4,,1.45
C1090,,2026-05-12,WTR-5L-4,25,4,,0
C1118,,2026-05-12,WTR-500ML-24,16,3,,0
C1133,,2026-05-12,WTR-200ML-24,50,3,,0
C1040,,2026-05-12,WTR-1.5L-6,9,3,,0
C1040,,2026-05-12,WTR-200ML-24,14,3,,0
C1039,,2026-05-12,WTR-5L-4,10,2,,0
C1039,,2026-05-12,WTR-19L-GAL,6,2,,0
C1039,,2026-05-12,WTR-200ML-24,10,2,,0
C1035,,2026-05-12,WTR-19L-GAL,1,4,,1.31
C1035,,2026-05-12,WTR-5L-4,2,4,,2.36
C1061,,2026-05-12,WTR-5L-4,6,3,,0
C1061,,2026-05-12,WTR-1.5L-6,2,3,,0
C1099,,2026-05-12,WTR-5L-4,29,1,,0
C1079,,2026-05-12,WTR-19L-GAL,2,3,,0
C1079,,2026-05-12,WTR-500ML-24,4,3,,0
C1041,,2026-05-12,WTR-500ML-24,24,3,,0
C1041,,2026-05-12,WTR-19L-GAL,11,3,,0
C1146,,2026-05-12,WTR-19L-GAL,2,3,,0
C1146,,2026-05-12,WTR-500ML-24,2,3,,0
C1146,,2026-05-12,WTR-200ML-24,2,3,,2.69
C1148,,2026-05-12,WTR-1.5L-6,31,2,,0
C1043,,2026-05-12,WTR-1.5L-6,19,2,,0
C1032,,2026-05-12,WTR-1.5L-6,2,3,,2.3
C1119,,2026-05-12,WTR-5L-4,4,3,,0
C1119,,2026-05-12,WTR-500ML-24,2,3,,0
C1134,,2026-05-12,WTR-19L-GAL,14,3,,0
C1134,,2026-05-12,WTR-500ML-24,12,3,,0
C1019,,2026-05-12,WTR-5L-4,4,2,,0
C1019,,2026-05-12,WTR-1.5L-6,1,2,,0
C1019,,2026-05-12,WTR-500ML-24,4,2,,0
C1031,,2026-05-12,WTR-500ML-24,36,3,,0
C1052,,2026-05-12,WTR-19L-GAL,5,4,,0
C1052,,2026-05-12,WTR-5L-4,5,4,,4.88
C1102,,2026-05-12,WTR-1.5L-6,30,3,,0
C1028,,2026-05-12,WTR-19L-GAL,1,4,,0.98
C1028,,2026-05-12,WTR-1.5L-6,1,4,,0
C1038,,2026-05-12,WTR-200ML-24,11,4,,0
C1063,,2026-05-12,WTR-200ML-24,12,2,,0
C1093,,2026-05-12,WTR-5L-4,1,3,,0
C1093,,2026-05-12,WTR-200ML-24,3,3,,0
C1130,,2026-05-12,WTR-19L-GAL,88,1,,0
C1135,,2026-05-12,WTR-200ML-24,5,3,,5.45
C1135,,2026-05-12,WTR-1.5L-6,1,3,,1.52
C1068,,2026-05-12,WTR-500ML-24,9,3,,0
C1106,,2026-05-12,WTR-5L-4,3,3,,0
C1106,,2026-05-12,WTR-1.5L-6,1,3,,1.14
C1103,,2026-05-12,WTR-5L-4,1,2,,0
C1103,,2026-05-12,WTR-19L-GAL,3,2,,0
C1103,,2026-05-12,WTR-1.5L-6,2,2,,0
C1051,,2026-05-12,WTR-1.5L-6,6,5,,0
C1020,,2026-05-12,WTR-200ML-24,33,2,,0
C1128,,2026-05-12,WTR-5L-4,52,3,,0
C1023,,2026-05-12,WTR-500ML-24,33,2,,52.26
C1124,,2026-05-12,WTR-19L-GAL,33,2,,0
C1084,B02,2026-05-12,WTR-19L-GAL,62,2,,0
C1110,,2026-05-12,WTR-500ML-24,6,5,,0
C1012,,2026-05-12,WTR-1.5L-6,12,3,,0
C1015,,2026-05-12,WTR-1.5L-6,14,3,,0
C1015,,2026-05-12,WTR-200ML-24,12,3,,0
C1062,,2026-05-12,WTR-1.5L-6,6,3,,0
C1062,,2026-05-12,WTR-500ML-24,11,3,,0
C1062,,2026-05-12,WTR-19L-GAL,5,3,,0
C1016,,2026-05-12,WTR-5L-4,6,3,,0
C1027,,2026-05-12,WTR-19L-GAL,28,4,,0
C1107,,2026-05-12,WTR-200ML-24,49,3,,0
C1049,,2026-05-12,WTR-19L-GAL,7,3,,10.6
C1054,,2026-05-12,WTR-5L-4,23,3,,0
C1026,,2026-05-12,WTR-19L-GAL,71,2,,0
C1121,,2026-05-12,WTR-200ML-24,18,2,,0
C1121,,2026-05-12,WTR-5L-4,11,2,,0
C1121,,2026-05-12,WTR-500ML-24,21,2,,0
C1070,,2026-05-12,WTR-19L-GAL,6,5,,0
C1123,,2026-05-12,WTR-19L-GAL,6,2,,0
C1123,,2026-05-12,WTR-5L-4,11,2,,0
C1123,,2026-05-12,WTR-200ML-24,8,2,,0
C1108,,2026-05-12,WTR-1.5L-6,9,4,,0
C1111,,2026-05-12,WTR-200ML-24,7,2,,0
C1111,,2026-05-12,WTR-500ML-24,8,2,,0
C1003,,2026-05-12,WTR-200ML-24,11,4,,0
C1003,,2026-05-12,WTR-19L-GAL,19,4,,0
C1074,,2026-05-12,WTR-5L-4,19,4,,0
C1080,,2026-05-12,WTR-200ML-24,14,3,,0
C1080,,2026-05-12,WTR-19L-GAL,16,3,,0
C1005,,2026-05-12,WTR-1.5L-6,9,3,,0
C1034,,2026-05-12,WTR-500ML-24,18,1,,0
C1034,,2026-05-12,WTR-19L-GAL,12,1,,0
C1071,,2026-05-12,WTR-200ML-24,3,2,,0
C1071,,2026-05-12,WTR-19L-GAL,6,2,,0
C1129,,2026-05-12,WTR-500ML-24,1,4,,0
C1129,,2026-05-12,WTR-5L-4,2,4,,0
